platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,A Princess for Christmas,MOVIE,2011,89,family,6.3,8268
Netflix,Middle of Nowhere,MOVIE,2012,101,drama,6.5,1838
Netflix,Donald Glover: Weirdo,MOVIE,2012,65,comedy,7.4,3584
Netflix,Delhi Belly,MOVIE,2011,102,comedy,7.5,29927
Netflix,Undefeated,MOVIE,2011,113,documentation,7.7,7073
Netflix,Barfi!,MOVIE,2012,151,drama,8.1,81198
Netflix,6 Bullets,MOVIE,2012,115,thriller,6.0,14988
Netflix,7 Khoon Maaf,MOVIE,2011,148,thriller,6.2,5969
Netflix,Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,108,action,7.1,5104
Netflix,Maria Bamford: The Special Special Special!,MOVIE,2012,50,comedy,7.0,567
Netflix,The Trial of Adolf Eichmann,MOVIE,2011,90,documentation,7.5,84
Netflix,Don't Go Breaking My Heart,MOVIE,2011,115,romance,6.5,1803
Netflix,Jim Gaffigan: Mr. Universe,MOVIE,2012,77,comedy,7.7,3524
Netflix,A Second Chance,MOVIE,2011,90,drama,4.7,1030
Netflix,Big Time Movie,MOVIE,2012,68,comedy,6.1,1962
Netflix,Paan Singh Tomar,MOVIE,2012,135,drama,8.2,36077
Netflix,Shor in the City,MOVIE,2011,107,drama,7.2,3753
Netflix,FRED 3: Camp Fred,MOVIE,2012,81,comedy,2.0,2654
Netflix,Don 2,MOVIE,2011,139,action,7.0,52750
Netflix,Pyaar Ka Punchnama,MOVIE,2011,149,romance,7.6,21521
Netflix,Chillar Party,MOVIE,2011,130,comedy,7.5,7831
Netflix,Talaash,MOVIE,2012,139,crime,7.2,42188
Netflix,Coming Forth by Day,MOVIE,2012,96,drama,6.5,234
Netflix,The Great Magician,MOVIE,2011,128,thriller,5.9,1774
Netflix,Arjun: The Warrior Prince,MOVIE,2012,96,action,6.7,14
Netflix,Toll Booth,MOVIE,2011,97,drama,6.4,4206
Netflix,No One Killed Jessica,MOVIE,2011,136,drama,7.2,11783
Netflix,Ferrari Ki Sawaari,MOVIE,2012,140,family,6.4,5465
Netflix,Tiger & Bunny: The Beginning,MOVIE,2012,88,scifi,6.6,264
Netflix,The Dirty Picture,MOVIE,2011,144,drama,6.6,9662
Netflix,Kath & Kimderella,MOVIE,2012,80,comedy,5.3,1362
Netflix,Rowdy Rathore,MOVIE,2012,143,action,5.7,22497
Netflix,OMG: Oh My God!,MOVIE,2012,125,drama,8.1,58017
Netflix,Ek Main Aur Ekk Tu,MOVIE,2012,110,drama,5.7,6820
Netflix,A Beautiful Life,MOVIE,2011,124,drama,6.7,927
Netflix,Mugamoodi,MOVIE,2012,156,drama,5.1,1215
Netflix,Game,MOVIE,2011,135,thriller,5.2,2353
Netflix,Bodyguard,MOVIE,2011,134,drama,4.6,25778
Netflix,Material,MOVIE,2012,94,comedy,7.1,967
Netflix,Kyaa Super Kool Hain Hum,MOVIE,2012,137,drama,5.0,3926
Netflix,Jeff Dunham: Controlled Chaos,MOVIE,2011,90,comedy,7.4,2296
Netflix,Players,MOVIE,2012,165,thriller,4.2,4534
Netflix,Aiyyaa,MOVIE,2012,146,romance,4.3,1889
Netflix,Tere Naal Love Ho Gaya,MOVIE,2012,126,drama,5.8,4381
Netflix,Ragini MMS,MOVIE,2011,93,drama,5.1,2654
Netflix,Grandmaster,MOVIE,2012,130,thriller,6.9,2211
Netflix,26 Years,MOVIE,2012,135,drama,6.3,1217
Netflix,Michael,MOVIE,2011,97,drama,5.3,168
Netflix,"All's Well, Ends Well",MOVIE,2012,118,romance,5.1,338
Netflix,Heroine,MOVIE,2012,140,drama,5.0,4353
Netflix,Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,90,comedy,6.9,234
Netflix,Jeff Dunham: Minding the Monsters,MOVIE,2012,80,comedy,7.0,1416
Netflix,Kalakalappu,MOVIE,2012,149,comedy,6.9,1398
