platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Escape from Planet Earth,MOVIE,2012,89,scifi,"5,80",25.734,,
Netflix,One Piece Film: Z,MOVIE,2012,108,action,"7,80",7.243,,
Netflix,Bully,MOVIE,2011,92,drama,"7,40",10.266,,
Netflix,"Chaos, Disorder",MOVIE,2012,76,drama,"6,20",109,,
Netflix,Sebastian Maniscalco: What's Wrong with People?,MOVIE,2012,75,comedy,"8,00",1.217,,
Netflix,Singham,MOVIE,2011,135,drama,"6,80",16.827,,
Netflix,Berserk: The Golden Age Arc II - The Battle for Doldrey,MOVIE,2012,98,action,"7,70",10.470,,
Netflix,Zindagi Na Milegi Dobara,MOVIE,2011,166,romance,"8,10",76.565,,
Netflix,Sleepless Nights,MOVIE,2012,128,documentation,"7,70",27,,
Netflix,A Princess for Christmas,MOVIE,2011,89,family,"6,30",8.268,,
Netflix,Middle of Nowhere,MOVIE,2012,101,drama,"6,50",1.838,,
Netflix,Donald Glover: Weirdo,MOVIE,2012,65,comedy,"7,40",3.584,,
Netflix,Delhi Belly,MOVIE,2011,102,comedy,"7,50",29.927,,
Netflix,Undefeated,MOVIE,2011,113,documentation,"7,70",7.073,,
Netflix,Barfi!,MOVIE,2012,151,drama,"8,10",81.198,,
Netflix,6 Bullets,MOVIE,2012,115,thriller,"6,00",14.988,,
Netflix,7 Khoon Maaf,MOVIE,2011,148,thriller,"6,20",5.969,,
Netflix,Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,108,action,"7,10",5.104,,
Netflix,Maria Bamford: The Special Special Special!,MOVIE,2012,50,comedy,"7,00",567,,
Netflix,The Trial of Adolf Eichmann,MOVIE,2011,90,documentation,"7,50",84,,
Netflix,Don't Go Breaking My Heart,MOVIE,2011,115,romance,"6,50",1.803,,
Netflix,Jim Gaffigan: Mr. Universe,MOVIE,2012,77,comedy,"7,70",3.524,,
Netflix,A Second Chance,MOVIE,2011,90,drama,"4,70",1.030,,
Netflix,Big Time Movie,MOVIE,2012,68,comedy,"6,10",1.962,,
Netflix,Paan Singh Tomar,MOVIE,2012,135,drama,"8,20",36.077,,
Netflix,Shor in the City,MOVIE,2011,107,drama,"7,20",3.753,,
Netflix,FRED 3: Camp Fred,MOVIE,2012,81,comedy,"2,00",2.654,,
Netflix,Don 2,MOVIE,2011,139,action,"7,00",52.750,,
Netflix,Pyaar Ka Punchnama,MOVIE,2011,149,romance,"7,60",21.521,,
Netflix,Chillar Party,MOVIE,2011,130,comedy,"7,50",7.831,,
Netflix,Talaash,MOVIE,2012,139,crime,"7,20",42.188,,
Netflix,Coming Forth by Day,MOVIE,2012,96,drama,"6,50",234,,
Netflix,The Great Magician,MOVIE,2011,128,thriller,"5,90",1.774,,
Netflix,Arjun: The Warrior Prince,MOVIE,2012,96,action,"6,70",14,,
Netflix,Toll Booth,MOVIE,2011,97,drama,"6,40",4.206,,
Netflix,No One Killed Jessica,MOVIE,2011,136,drama,"7,20",11.783,,
Netflix,Ferrari Ki Sawaari,MOVIE,2012,140,family,"6,40",5.465,,
Netflix,Tiger & Bunny: The Beginning,MOVIE,2012,88,scifi,"6,60",264,,
Netflix,The Dirty Picture,MOVIE,2011,144,drama,"6,60",9.662,,
Netflix,Kath & Kimderella,MOVIE,2012,80,comedy,"5,30",1.362,,
Netflix,Rowdy Rathore,MOVIE,2012,143,action,"5,70",22.497,,
Netflix,OMG: Oh My God!,MOVIE,2012,125,drama,"8,10",58.017,,
Netflix,Ek Main Aur Ekk Tu,MOVIE,2012,110,drama,"5,70",6.820,,
Netflix,A Beautiful Life,MOVIE,2011,124,drama,"6,70",927,,
Netflix,Mugamoodi,MOVIE,2012,156,drama,"5,10",1.215,,
Netflix,Game,MOVIE,2011,135,thriller,"5,20",2.353,,
